Date,Close,close
2023-12-12 14:30:00,374.3800048828125,374.3800048828125
2023-12-13 14:30:00,374.3699951171875,374.3699951171875
2023-12-14 14:30:00,365.92999267578125,365.92999267578125
2023-12-15 14:30:00,370.7300109863281,370.7300109863281
2023-12-18 14:30:00,372.6499938964844,372.6499938964844
2023-12-19 14:30:00,373.260009765625,373.260009765625
2023-12-20 14:30:00,370.6199951171875,370.6199951171875
2023-12-21 14:30:00,373.5400085449219,373.5400085449219
2023-12-22 14:30:00,374.5799865722656,374.5799865722656
2023-12-26 14:30:00,374.6600036621094,374.6600036621094
2023-12-27 14:30:00,374.07000732421875,374.07000732421875
2023-12-28 14:30:00,375.2799987792969,375.2799987792969
2023-12-29 14:30:00,376.0400085449219,376.0400085449219
2024-01-02 14:30:00,370.8699951171875,370.8699951171875
2024-01-03 14:30:00,370.6000061035156,370.6000061035156
2024-01-04 14:30:00,367.94000244140625,367.94000244140625
2024-01-05 14:30:00,367.75,367.75
2024-01-08 14:30:00,374.69000244140625,374.69000244140625
2024-01-09 14:30:00,375.7900085449219,375.7900085449219
2024-01-10 14:30:00,382.7699890136719,382.7699890136719
2024-01-11 14:30:00,384.6300048828125,384.6300048828125
2024-01-12 14:30:00,388.4700012207031,388.4700012207031
2024-01-16 14:30:00,390.2699890136719,390.2699890136719
2024-01-17 14:30:00,389.4700012207031,389.4700012207031
2024-01-18 14:30:00,393.8699951171875,393.8699951171875
2024-01-19 14:30:00,398.6700134277344,398.6700134277344
2024-01-22 14:30:00,396.510009765625,396.510009765625
2024-01-23 14:30:00,398.8999938964844,398.8999938964844
2024-01-24 14:30:00,402.55999755859375,402.55999755859375
2024-01-25 14:30:00,404.8699951171875,404.8699951171875
2024-01-26 14:30:00,403.92999267578125,403.92999267578125
2024-01-29 14:30:00,409.7200012207031,409.7200012207031
2024-01-30 14:30:00,408.5899963378906,408.5899963378906
2024-01-31 14:30:00,397.5799865722656,397.5799865722656
2024-02-01 14:30:00,403.7799987792969,403.7799987792969
2024-02-02 14:30:00,411.2200012207031,411.2200012207031
2024-02-05 14:30:00,405.6499938964844,405.6499938964844
2024-02-06 14:30:00,405.489990234375,405.489990234375
2024-02-07 14:30:00,414.04998779296875,414.04998779296875
2024-02-08 14:30:00,414.1099853515625,414.1099853515625
2024-02-09 14:30:00,420.54998779296875,420.54998779296875
2024-02-12 14:30:00,415.260009765625,415.260009765625
2024-02-13 14:30:00,406.32000732421875,406.32000732421875
2024-02-14 14:30:00,409.489990234375,409.489990234375
2024-02-15 14:30:00,406.55999755859375,406.55999755859375
2024-02-16 14:30:00,404.05999755859375,404.05999755859375
2024-02-20 14:30:00,402.7900085449219,402.7900085449219
2024-02-21 14:30:00,402.17999267578125,402.17999267578125
2024-02-22 14:30:00,411.6499938964844,411.6499938964844
2024-02-23 14:30:00,410.3399963378906,410.3399963378906
2024-02-26 14:30:00,407.5400085449219,407.5400085449219
2024-02-27 14:30:00,407.4800109863281,407.4800109863281
2024-02-28 14:30:00,407.7200012207031,407.7200012207031
2024-02-29 14:30:00,413.6400146484375,413.6400146484375
2024-03-01 14:30:00,415.5,415.5
2024-03-04 14:30:00,414.9200134277344,414.9200134277344
2024-03-05 14:30:00,402.6499938964844,402.6499938964844
2024-03-06 14:30:00,402.0899963378906,402.0899963378906
2024-03-07 14:30:00,409.1400146484375,409.1400146484375
2024-03-08 14:30:00,406.2200012207031,406.2200012207031
2024-03-11 13:30:00,404.5199890136719,404.5199890136719
2024-03-12 13:30:00,415.2799987792969,415.2799987792969
2024-03-13 13:30:00,415.1000061035156,415.1000061035156
2024-03-14 13:30:00,425.2200012207031,425.2200012207031
2024-03-15 13:30:00,416.4200134277344,416.4200134277344
2024-03-18 13:30:00,417.32000732421875,417.32000732421875
2024-03-19 13:30:00,421.4100036621094,421.4100036621094
2024-03-20 13:30:00,425.2300109863281,425.2300109863281
2024-03-21 13:30:00,429.3699951171875,429.3699951171875
2024-03-22 13:30:00,428.739990234375,428.739990234375
2024-03-25 13:30:00,422.8599853515625,422.8599853515625
2024-03-26 13:30:00,421.6499938964844,421.6499938964844
2024-03-27 13:30:00,421.42999267578125,421.42999267578125
2024-03-28 13:30:00,420.7200012207031,420.7200012207031
2024-04-01 13:30:00,424.57000732421875,424.57000732421875
2024-04-02 13:30:00,421.44000244140625,421.44000244140625
2024-04-03 13:30:00,420.45001220703125,420.45001220703125
2024-04-04 13:30:00,417.8800048828125,417.8800048828125
2024-04-05 13:30:00,425.5199890136719,425.5199890136719
2024-04-08 13:30:00,424.5899963378906,424.5899963378906
2024-04-09 13:30:00,426.2799987792969,426.2799987792969
2024-04-10 13:30:00,423.260009765625,423.260009765625
2024-04-11 13:30:00,427.92999267578125,427.92999267578125
2024-04-12 13:30:00,421.8999938964844,421.8999938964844
2024-04-15 13:30:00,413.6400146484375,413.6400146484375
2024-04-16 13:30:00,414.5799865722656,414.5799865722656
2024-04-17 13:30:00,411.8399963378906,411.8399963378906
2024-04-18 13:30:00,404.2699890136719,404.2699890136719
2024-04-19 13:30:00,399.1199951171875,399.1199951171875
2024-04-22 13:30:00,400.9599914550781,400.9599914550781
2024-04-23 13:30:00,407.57000732421875,407.57000732421875
2024-04-24 13:30:00,409.05999755859375,409.05999755859375
2024-04-25 13:30:00,399.0400085449219,399.0400085449219
2024-04-26 13:30:00,406.32000732421875,406.32000732421875
2024-04-29 13:30:00,402.25,402.25
2024-04-30 13:30:00,389.3299865722656,389.3299865722656
2024-05-01 13:30:00,394.94000244140625,394.94000244140625
2024-05-02 13:30:00,397.8399963378906,397.8399963378906
2024-05-03 13:30:00,406.6600036621094,406.6600036621094
2024-05-06 13:30:00,413.5400085449219,413.5400085449219
2024-05-07 13:30:00,409.3399963378906,409.3399963378906
2024-05-08 13:30:00,410.5400085449219,410.5400085449219
2024-05-09 13:30:00,412.32000732421875,412.32000732421875
2024-05-10 13:30:00,414.739990234375,414.739990234375
2024-05-13 13:30:00,413.7200012207031,413.7200012207031
2024-05-14 13:30:00,416.55999755859375,416.55999755859375
2024-05-15 13:30:00,423.0799865722656,423.0799865722656
2024-05-16 13:30:00,420.989990234375,420.989990234375
2024-05-17 13:30:00,420.2099914550781,420.2099914550781
2024-05-20 13:30:00,425.3399963378906,425.3399963378906
2024-05-21 13:30:00,429.0400085449219,429.0400085449219
2024-05-22 13:30:00,430.5199890136719,430.5199890136719
2024-05-23 13:30:00,427.0,427.0
2024-05-24 13:30:00,430.1600036621094,430.1600036621094
2024-05-28 13:30:00,430.32000732421875,430.32000732421875
2024-05-29 13:30:00,429.1700134277344,429.1700134277344
2024-05-30 13:30:00,414.6700134277344,414.6700134277344
2024-05-31 13:30:00,415.1300048828125,415.1300048828125
2024-06-03 13:30:00,413.5199890136719,413.5199890136719
2024-06-04 13:30:00,416.07000732421875,416.07000732421875
2024-06-05 13:30:00,424.010009765625,424.010009765625
2024-06-06 13:30:00,424.5199890136719,424.5199890136719
2024-06-07 13:30:00,423.8500061035156,423.8500061035156
