K,T,S0,iv,type
5.0,0.019178082191780823,278.03,13.703126435546874,call
10.0,0.019178082191780823,278.03,11.679690200195312,call
15.0,0.019178082191780823,278.03,10.906253183593751,call
20.0,0.019178082191780823,278.03,9.648441469726562,call
25.0,0.019178082191780823,278.03,8.785160759277343,call
30.0,0.019178082191780823,278.03,8.058598713378906,call
35.0,0.019178082191780823,278.03,7.464844418945313,call
40.0,0.019178082191780823,278.03,6.917970102539062,call
45.0,0.019178082191780823,278.03,6.527345590820314,call
50.0,0.019178082191780823,278.03,5.589846762695313,call
55.0,0.019178082191780823,278.03,8.616215552368164,call
60.0,0.019178082191780823,278.03,4.753910307617186,call
65.0,0.019178082191780823,278.03,4.5117231103515625,call
70.0,0.019178082191780823,278.03,4.289067138671875,call
75.0,0.019178082191780823,278.03,4.126957966308594,call
80.0,0.019178082191780823,278.03,3.8886721533203126,call
85.0,0.019178082191780823,278.03,3.751953745117188,call
90.0,0.019178082191780823,278.03,3.540040212402343,call
95.0,0.019178082191780823,278.03,3.4189467651367185,call
100.0,0.019178082191780823,278.03,3.2294941137695305,call
105.0,0.019178082191780823,278.03,3.307618918457031,call
110.0,0.019178082191780823,278.03,2.983400979003906,call
115.0,0.019178082191780823,278.03,2.88281529296875,call
120.0,0.019178082191780823,278.03,2.488285029296875,call
125.0,0.019178082191780823,278.03,2.6337924780273436,call
130.0,0.019178082191780823,278.03,2.4892615893554684,call
135.0,0.019178082191780823,278.03,2.2900433374023432,call
140.0,0.019178082191780823,278.03,2.295902697753906,call
145.0,0.019178082191780823,278.03,2.25928169555664,call
150.0,0.019178082191780823,278.03,1.8955083349609376,call
155.0,0.019178082191780823,278.03,1.5273461132812498,call
160.0,0.019178082191780823,278.03,1.732423212890625,call
165.0,0.019178082191780823,278.03,1.8232430712890624,call
170.0,0.019178082191780823,278.03,1.5488303808593749,call
175.0,0.019178082191780823,278.03,1.4941431542968748,call
180.0,0.019178082191780823,278.03,1.1328168359375002,call
185.0,0.019178082191780823,278.03,1.32422212890625,call
190.0,0.019178082191780823,278.03,1.2812535937499998,call
195.0,0.019178082191780823,278.03,0.9433599414062499,call
200.0,0.019178082191780823,278.03,1.1220747021484376,call
205.0,0.019178082191780823,278.03,0.9501958105468749,call
210.0,0.019178082191780823,278.03,0.9785158398437501,call
215.0,0.019178082191780823,278.03,0.8828136718749999,call
220.0,0.019178082191780823,278.03,0.788088056640625,call
222.5,0.019178082191780823,278.03,0.5195360546875,call
225.0,0.019178082191780823,278.03,0.5429733203125001,call
227.5,0.019178082191780823,278.03,0.9372564868164062,call
